,0
1406,AKAP8L
1407,LEO1
1408,STK11
1409,C19orf48
1410,RPS6KA3
1411,PBDC1
1412,PRRC2B
1413,CDC73
1414,TAOK1
1415,GAR1
1416,PAK1IP1
1417,CHMP1A
1418,KDM1A
1419,ADAM17
1420,KAT7
1421,F8A1
1422,TSPAN14
1423,BORCS7
1424,ATP6V0A1
1425,ARF3
1426,RPRD2
1427,INO80
1428,C12orf49
1429,WASHC2C
1430,TUBA1A
1431,YJU2
1432,LPCAT1
1433,CIAPIN1
1434,KANSL2
1435,DNAJC13
1436,EIF4G3
1437,LDLRAP1
1438,INPP5D
1439,MTAP
1440,MAVS
1441,PTPA
1442,TTC7A
1443,TRPM7
1444,DDX39B
1445,ATP9B
1446,BMS1
1447,MARCH7
1448,TSR1
1449,TSR2
1450,PSMB8-AS1
1451,ARHGAP15
1452,WASHC4
1453,HIST1H2AJ
1454,MRPL35
1455,FRYL
1456,SURF6
1457,BATF
1458,TOP2B
1459,EPB41L4A-AS1
1460,ARHGAP4
1461,AIM2
1462,CDK17
1463,ATXN7L1
1464,GLYR1
1465,MAT2A
1466,CTDSP1
1467,SSH2
1468,SDHAF2
1469,TET2
1470,WDR73
1471,RPF2
1472,VTI1A
1473,TRIM56
1474,FRG1CP
1475,RBM14
1476,KLHL18
1477,ATP11C
1478,PTPN18
1479,STX10
1480,ZCCHC10
1481,RAB11FIP2
1482,RRS1
1483,RSU1
1484,GABPA
1485,BRD9
1486,COX11
1487,SINHCAF
1488,CCDC137
1489,MPHOSPH9
1490,TRRAP
1491,BLOC1S2
1492,BTBD1
1493,SACS
1494,CHML
1495,RFK
1496,ING1
1497,USP28
1498,SGTA
1499,PHRF1
1500,NOA1
1501,NDUFA7
1502,CGAS
1503,AC103591.3
1504,GATAD2A
1505,MYCBP
1506,PDCD6IP
1507,SCNM1
1508,NUP37
1509,TSNAX
1510,AC073861.1
1511,TOR1AIP2
1512,AP1B1
1513,CDK11A
1514,PVT1
1515,TNPO3
1516,OGDH
1517,ESD
1518,CTNNA1
1519,RCC1
1520,CARD11
1521,PTAR1
1522,PRMT2
1523,RNF169
1524,PNO1
1525,DHX8
1526,RAB3GAP2
1527,RBPJ
1528,PLRG1
1529,MED25
1530,ZMYND8
1531,ANKRD13D
1532,CCDC18
1533,AC092069.1
1534,STK10
1535,TSSC4
1536,FAR1
1537,TOPBP1
1538,ZNF800
1539,MAP3K5
1540,DCLRE1C
1541,SCO1
1542,BLMH
1543,MGAT4B
1544,ZRSR2
1545,IP6K2
1546,RAE1
1547,NOL10
1548,PGRMC1
1549,HOOK3
1550,CTNNB1
1551,CAMLG
1552,REV3L
1553,ARHGEF1
1554,ORC6
1555,FXN
1556,EXOC6
1557,KIFAP3
1558,DIS3
1559,MLLT6
1560,SURF2
1561,SULF2
