,0
1510,AP5Z1
1511,STK38
1512,BTBD1
1513,TFEB
1514,DENND2D
1515,HS6ST1
1516,WDR91
1517,BSDC1
1518,RAB1B
1519,PISD
1520,PIP5K1C
1521,ZMYND8
1522,ZNF91
1523,ACP1
1524,OSBPL3
1525,PPP1R9B
1526,RSBN1L
1527,TMUB1
1528,MLX
1529,SIRPB1
1530,SNTB2
1531,UPF3A
1532,HTRA4
1533,RNF216
1534,EXOSC10
1535,MTIF2
1536,CYB561A3
1537,RIPOR1
1538,HES4
1539,CHIC2
1540,FXYD6
1541,COX20
1542,TMCC1
1543,MACO1
1544,HS2ST1
1545,LINC01503
1546,NCK1
1547,MVP
1548,RNPC3
1549,GTF2F2
1550,AKT1
1551,TP53I11
1552,PACSIN2
1553,CPD
1554,RGL1
1555,CRYL1
1556,DYNC1LI2
1557,UBXN6
1558,SMAD4
1559,ZBED3
1560,DNAJC5B
1561,MOB2
1562,TRG-AS1
1563,RAB6A
1564,LARP1B
1565,SNAP29
1566,PHACTR4
1567,WDR7
1568,SP140L
1569,WWP1
1570,NBPF1
1571,CASP3
1572,FUNDC2
1573,WDR13
1574,SPRY1
1575,ENOSF1
1576,CISD3
1577,MRTO4
1578,SGSH
1579,MAZ
1580,MRPL36
1581,ATXN2L
1582,ATG16L2
1583,AC008957.3
1584,CIPC
1585,LRRFIP2
1586,CDC42BPB
1587,LTBP3
1588,ICE1
1589,VWA5A
1590,FAM53B
1591,MED15
1592,BCL2L1
1593,PPP5C
1594,RNF5
1595,NAV1
1596,MIEN1
1597,ZNF271P
1598,MPHOSPH10
1599,ARHGAP12
1600,NOSIP
1601,RERE
1602,CNPPD1
1603,UHRF1BP1
1604,GOLPH3
1605,MTX1
1606,NRROS
1607,EPB41
1608,SLC52A2
1609,SYNRG
1610,KCTD7
1611,RPA1
1612,SLC2A8
1613,SUDS3
1614,NSFL1C
1615,MTMR14
1616,SNTB1
1617,SNHG12
1618,NAP1L4
1619,CENPX
1620,KIAA0513
1621,C6orf48
1622,RNF24
1623,SLC29A3
1624,LIMK1
1625,RAB3GAP1
1626,HAGHL
1627,HIST1H1C
1628,ASRGL1
1629,UPF1
1630,PIEZO1
1631,ZNF358
1632,DPEP2
1633,ORAI1
1634,LDB1
1635,PDCD7
1636,PBDC1
1637,CUL4A
1638,CCDC152
1639,DAZAP1
1640,SLC39A11
1641,PRKCE
1642,TBC1D9B
1643,TRIM56
1644,SPIDR
1645,CDK11B
1646,STT3A
1647,GADD45G
1648,SPSB3
1649,LUC7L
1650,CCPG1
1651,KMT2B
1652,MCUR1
1653,STRN3
1654,LILRA6
1655,GTF2F1
1656,PICK1
1657,WDR37
1658,OTULIN
